IGN,Real Name,Stats
keznit,Angelo Mori,"['Neon', '(3) 38%', '61', '1.17', '277.7', '1.17', '176.1', '75%', '0.89', '0.38', '0.16', '0.10', '54', '46', '23', '10', '6']","['Raze', '(3) 38%', '59', '1.25', '241.7', '1.07', '176.9', '78%', '0.76', '0.37', '0.15', '0.05', '45', '42', '22', '9', '3']","['Omen', '(1) 13%', '19', '1.01', '242.0', '1.07', '167.0', '58%', '0.84', '0.16', '0.11', '0.16', '16', '15', '3', '2', '3']"
heat,Olavo Marcelo,"['Breach', '(3) 38%', '61', '0.94', '163.3', '0.97', '106.1', '74%', '0.62', '0.38', '0.05', '0.03', '38', '39', '23', '3', '2']","['Fade', '(3) 38%', '59', '0.99', '194.0', '1.05', '122.0', '73%', '0.78', '0.17', '0.03', '0.05', '46', '44', '10', '2', '3']","['Sova', '(1) 13%', '19', '0.82', '174.0', '0.80', '121.2', '68%', '0.63', '0.21', '0.05', '0.05', '12', '15', '4', '1', '1']"
Shyy,Fabian Usnayo,"['Cypher', '(4) 50%', '80', '1.04', '195.5', '1.04', '127.5', '71%', '0.69', '0.35', '0.14', '0.13', '55', '53', '28', '11', '10']","['Killjoy', '(3) 38%', '57', '1.17', '238.7', '1.46', '162.8', '72%', '0.95', '0.14', '0.11', '0.09', '54', '37', '8', '6', '5']","['Viper', '(1) 13%', '19', '0.90', '191.0', '0.86', '123.6', '53%', '0.63', '0.21', '0.21', '0.16', '12', '14', '4', '4', '3']"
mta,Nicolas Gonzalez,"['Sova', '(4) 50%', '78', '0.88', '161.0', '0.92', '104.2', '68%', '0.60', '0.17', '0.08', '0.05', '47', '51', '13', '6', '4']","['Viper', '(2) 25%', '40', '0.88', '170.0', '0.89', '107.4', '75%', '0.63', '0.33', '0.18', '0.13', '25', '28', '13', '7', '5']","['Kayo', '(1) 13%', '19', '1.40', '285.0', '1.19', '208.9', '79%', '1.00', '0.47', '0.11', '0.16', '19', '16', '9', '2', '3']"
TenZ,Tyson Ngo,"['Omen', '(13) 65%', '277', '1.11', '218.4', '1.11', '143.7', '76%', '0.77', '0.41', '0.08', '0.09', '214', '192', '113', '22', '25']","['Kayo', '(3) 15%', '62', '1.27', '240.7', '1.16', '159.9', '68%', '0.82', '0.61', '0.03', '0.10', '51', '44', '38', '2', '6']","['Gekko', '(2) 10%', '43', '0.91', '166.5', '0.83', '111.4', '70%', '0.58', '0.33', '0.07', '0.07', '25', '30', '14', '3', '3']"
Sacy,Gustavo Rossi,"['Fade', '(8) 47%', '171', '0.95', '175.5', '0.83', '118.1', '77%', '0.58', '0.54', '0.05', '0.08', '99', '119', '92', '8', '14']","['Sova', '(8) 47%', '166', '1.07', '200.4', '0.96', '136.3', '71%', '0.64', '0.37', '0.10', '0.07', '106', '110', '62', '16', '12']","['Gekko', '(1) 6%', '24', '0.98', '225.0', '0.94', '153.9', '75%', '0.71', '0.33', '0.08', '0.13', '17', '18', '8', '2', '3']"
Zellsis,Jordan Montemurro,"['Breach', '(11) 33%', '246', '0.97', '167.4', '0.92', '109.6', '74%', '0.57', '0.54', '0.06', '0.08', '141', '153', '134', '14', '20']","['Killjoy', '(10) 30%', '211', '1.07', '199.8', '1.17', '131.0', '75%', '0.73', '0.16', '0.11', '0.11', '154', '132', '33', '24', '24']","['Kayo', '(6) 18%', '125', '0.84', '177.8', '0.73', '111.8', '71%', '0.59', '0.54', '0.04', '0.06', '74', '102', '67', '5', '8']"
johnqt,Mohamed Amine Ouarid,"['Cypher', '(10) 33%', '218', '0.94', '154.9', '0.97', '102.2', '72%', '0.57', '0.26', '0.06', '0.06', '124', '128', '56', '13', '13']","['Viper', '(8) 27%', '165', '1.05', '170.4', '1.08', '113.2', '76%', '0.60', '0.31', '0.10', '0.07', '99', '92', '51', '16', '12']","['Fade', '(3) 10%', '67', '1.07', '186.7', '1.10', '118.5', '72%', '0.67', '0.45', '0.04', '0.07', '45', '41', '30', '3', '5']"
zekken,Zachary Patrone,"['Neon', '(10) 33%', '220', '1.29', '302.2', '1.43', '182.6', '75%', '1.06', '0.25', '0.22', '0.17', '233', '163', '55', '49', '38']","['Raze', '(10) 33%', '215', '1.22', '262.7', '1.29', '163.5', '72%', '0.94', '0.26', '0.19', '0.16', '202', '156', '55', '41', '35']","['Jett', '(5) 17%', '102', '0.93', '211.2', '1.00', '138.8', '62%', '0.77', '0.15', '0.15', '0.20', '79', '79', '15', '15', '20']"
Boaster,Jake Howlett,"['Astra', '(8) 44%', '184', '0.68', '117.5', '0.62', '73.6', '66%', '0.40', '0.30', '0.08', '0.09', '73', '117', '55', '14', '17']","['Omen', '(7) 39%', '127', '0.72', '124.9', '0.69', '80.9', '72%', '0.45', '0.38', '0.04', '0.16', '57', '83', '48', '5', '20']","['Yoru', '(1) 6%', '22', '0.35', '104.0', '0.44', '64.3', '41%', '0.36', '0.14', '0.09', '0.18', '8', '18', '3', '2', '4']"
